periode_data;nama_sungai;nama_lokasi;parameter;satuan;nilai
201511;BANJIR KANAL TIMUR;MARUNDA;KOORDINAT DETIK BUJUR TIMUR;-;-
201511;BANJIR KANAL TIMUR;MARUNDA;WAKTU SAMPLING;-;-
201511;BANJIR KANAL TIMUR;MARUNDA;TEMPERATUR;CELCIUS;-
201511;BANJIR KANAL TIMUR;MARUNDA;RESIDU TERLARUT;MG/L;240
201511;BANJIR KANAL TIMUR;MARUNDA;RESIDU TERSUSPENSI;MG/L;55
201511;BANJIR KANAL TIMUR;MARUNDA;PH;-;7.4
201511;BANJIR KANAL TIMUR;MARUNDA;DHL;MG/L;448
201511;BANJIR KANAL TIMUR;MARUNDA;TDS;MG/L;240
201511;BANJIR KANAL TIMUR;MARUNDA;TSS;MG/L;55
201511;BANJIR KANAL TIMUR;MARUNDA;DO;MG/L;2.3
201511;BANJIR KANAL TIMUR;MARUNDA;BOD;MG/L;15.48
201511;BANJIR KANAL TIMUR;MARUNDA;COD;MG/L;39.6
201511;BANJIR KANAL TIMUR;MARUNDA;NO2;MG/L;-
201511;BANJIR KANAL TIMUR;MARUNDA;NO3;MG/L;-
201511;BANJIR KANAL TIMUR;MARUNDA;NH3;MG/L;-
201511;BANJIR KANAL TIMUR;MARUNDA;KLORIN BEBAS;MG/L;-
201511;BANJIR KANAL TIMUR;MARUNDA;T-P JUMLAH;-;-
201511;BANJIR KANAL TIMUR;MARUNDA;T-P;MG/L;0.61
201511;BANJIR KANAL TIMUR;MARUNDA;FENOL;?/L;-
201511;BANJIR KANAL TIMUR;MARUNDA;MINYAK LEMAK;?/L;0.1
201511;BANJIR KANAL TIMUR;MARUNDA;DETERGEN;?/L;0.26
201511;BANJIR KANAL TIMUR;MARUNDA;FECAL COLIFORM;JMLH/100ML;36
201511;BANJIR KANAL TIMUR;MARUNDA;TOTAL COLIFORM;JMLH/100ML;101
201511;BANJIR KANAL TIMUR;MARUNDA;SIANIDA;MG/L;-
201511;BANJIR KANAL TIMUR;MARUNDA;H2S;MG/L;-
201511;BANJIR KANAL TIMUR;JL. BINTARA;KOORDINAT DERAJAT LINTANG;-;-
201511;BANJIR KANAL TIMUR;JL. BINTARA;KOORDINAT MENIT LINTANG;-;-
201511;BANJIR KANAL TIMUR;JL. BINTARA;KOORDINAT DETIK LINTANG;-;-
201511;BANJIR KANAL TIMUR;JL. BINTARA;KOORDINAT DERAJAT BUJUR TIMUR;-;-
201511;BANJIR KANAL TIMUR;JL. BINTARA;KOORDINAT MENIT BUJUR TIMUR;-;-
201511;BANJIR KANAL TIMUR;JL. BINTARA;KOORDINAT DETIK BUJUR TIMUR;-;-
201511;BANJIR KANAL TIMUR;JL. BINTARA;WAKTU SAMPLING;-;-
201511;BANJIR KANAL TIMUR;JL. BINTARA;TEMPERATUR;CELCIUS;-
201511;BANJIR KANAL TIMUR;JL. BINTARA;RESIDU TERLARUT;MG/L;310
201511;BANJIR KANAL TIMUR;JL. BINTARA;RESIDU TERSUSPENSI;MG/L;58
201511;BANJIR KANAL TIMUR;JL. BINTARA;PH;-;7.1
201511;BANJIR KANAL TIMUR;JL. BINTARA;DHL;MG/L;580
201511;BANJIR KANAL TIMUR;JL. BINTARA;TDS;MG/L;310
201511;BANJIR KANAL TIMUR;JL. BINTARA;TSS;MG/L;58
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;TDS;MG/L;101.3
